ID,tempo_desloc_minutos,faltas,cod_cor_favorita,quant_irmaos,horas_estudo,fez_atividade_extra,cod_letra_turma,nota_p1,nota_p2,nota_p3,recuperacao,situacao
53,114,14,6,3,40,1,1,8.54,4.65,6.68,1,aprovado
54,118,20,7,4,1,1,1,7.25,5.1,-1.0,0,aprovado
55,21,4,6,3,34,0,1,0.84,3.39,6.53,1,reprovado
56,101,14,6,3,8,1,2,7.62,6.75,-1.0,0,aprovado
57,28,13,5,0,6,1,1,10.01,7.51,-1.0,0,aprovado
58,66,14,2,1,30,1,1,8.4,4.34,7.25,1,aprovado
59,109,12,1,2,71,0,1,1.68,7.94,10.0,1,aprovado
60,111,21,3,4,39,0,0,3.97,6.24,9.14,1,reprovado
61,45,10,0,4,28,0,2,7.97,6.74,-1.0,0,aprovado
62,18,7,7,3,46,1,0,8.5,10.0,-1.0,0,aprovado
63,54,11,4,3,71,0,3,4.36,10.0,10.0,1,aprovado
64,37,13,7,3,74,1,1,2.79,10.0,10.0,1,aprovado
65,98,15,3,2,44,1,2,1.82,8.51,6.88,1,aprovado
66,17,8,3,1,46,1,0,5.17,8.95,-1.0,0,aprovado
67,136,15,7,0,20,0,3,6.47,5.97,-1.0,0,aprovado
68,93,17,5,4,24,1,3,6.65,8.74,-1.0,0,aprovado
69,99,14,7,2,41,0,2,3.52,3.58,5.72,1,reprovado
70,62,14,7,4,71,0,2,1.92,6.88,9.85,1,aprovado
71,73,9,4,4,49,0,0,3.61,3.9,7.58,1,reprovado
72,47,14,7,0,21,1,0,6.39,6.84,-1.0,0,aprovado
73,62,7,4,0,31,1,3,9.66,8.76,-1.0,0,aprovado
74,28,4,4,1,74,1,0,1.52,10.0,10.0,1,aprovado
75,72,11,6,3,41,1,3,7.76,8.66,-1.0,0,aprovado
76,30,7,1,1,31,0,1,6.1,2.24,4.26,1,reprovado
77,15,5,7,0,52,1,2,4.09,9.52,8.77,1,aprovado
78,74,15,3,0,16,1,3,9.25,8.55,-1.0,0,aprovado
79,51,14,2,4,46,0,2,0.71,5.6,7.27,1,aprovado
80,118,21,7,0,2,1,3,9.44,5.93,-1.0,0,reprovado
81,79,17,3,2,25,1,0,0.26,3.5,5.72,1,reprovado
82,128,14,2,3,33,1,3,9.17,7.8,-1.0,0,aprovado
83,41,8,5,3,31,1,3,8.59,8.64,-1.0,0,aprovado
84,131,19,4,0,60,1,2,0.88,7.01,10.0,1,aprovado
85,133,20,3,4,70,0,2,4.14,6.51,10.0,1,aprovado
86,48,5,7,0,48,1,3,9.29,9.2,-1.0,0,aprovado
87,55,9,0,0,36,0,3,3.11,2.59,8.67,1,reprovado
88,142,21,4,3,30,0,2,9.34,6.51,-1.0,0,reprovado
89,113,17,2,2,49,1,0,1.91,8.16,10.0,1,aprovado
90,87,17,7,3,32,1,1,7.27,8.77,-1.0,0,aprovado
91,111,20,5,1,50,0,1,4.56,7.64,6.47,1,aprovado
92,136,21,6,1,2,0,3,7.06,5.09,-1.0,0,reprovado
93,99,17,7,4,22,1,0,8.71,4.3,6.03,1,aprovado
94,54,11,4,4,31,1,2,0.75,7.64,8.18,1,aprovado
95,112,12,7,4,19,1,0,9.55,8.98,-1.0,0,aprovado
96,73,14,6,0,13,1,0,7.48,8.16,-1.0,0,aprovado
97,26,8,0,2,61,0,2,3.25,7.78,10.0,1,aprovado
98,61,16,1,4,41,0,3,1.7,5.54,6.28,1,reprovado
99,80,18,0,2,64,0,3,4.6,7.71,9.73,1,aprovado
100,91,13,6,3,16,1,2,6.4,8.28,-1.0,0,aprovado
101,42,4,5,2,61,0,2,2.37,7.96,10.0,1,aprovado
102,27,12,7,1,46,0,2,9.12,4.2,7.01,1,aprovado
103,50,5,0,3,45,1,2,6.29,8.28,-1.0,0,aprovado
104,90,11,6,1,68,1,1,3.27,9.83,10.0,1,aprovado
105,84,13,4,2,31,1,3,8.31,3.76,7.65,1,aprovado
106,72,13,6,0,24,0,2,8.61,1.12,4.85,1,aprovado
107,82,15,5,1,4,1,0,5.85,7.23,-1.0,0,aprovado
108,98,14,3,3,49,0,0,9.16,3.86,6.32,1,aprovado
109,141,21,3,3,49,1,1,1.16,9.35,10.0,1,reprovado
110,122,19,2,0,49,0,3,5.88,10.0,-1.0,0,aprovado
111,23,5,3,3,31,0,3,6.91,7.32,-1.0,0,aprovado
112,106,18,4,0,28,1,1,0.61,6.21,6.49,1,aprovado
113,20,11,5,1,41,0,1,0.51,6.46,6.16,1,aprovado
114,70,16,3,1,2,0,2,8.14,5.18,-1.0,0,aprovado
115,48,7,2,0,28,0,0,5.41,4.95,6.45,1,reprovado
116,19,10,0,3,35,1,1,1.74,6.26,8.28,1,aprovado
117,146,15,7,4,44,0,1,5.94,8.72,-1.0,0,aprovado
118,22,12,7,3,32,0,3,0.61,6.06,4.37,1,reprovado
119,35,8,2,1,76,1,0,3.22,10.0,10.0,1,aprovado
120,150,25,6,0,61,1,0,2.95,8.2,9.88,1,reprovado
121,73,8,7,3,52,0,3,4.14,7.33,8.38,1,aprovado
122,54,6,7,0,12,1,0,6.88,7.23,-1.0,0,aprovado
123,110,17,0,0,24,1,2,8.13,9.72,-1.0,0,aprovado
124,123,16,0,4,24,0,2,8.69,5.54,-1.0,0,aprovado
125,54,13,3,2,47,0,0,6.57,4.78,7.0,1,aprovado
126,124,14,0,0,20,1,2,8.46,6.05,-1.0,0,aprovado
127,101,20,2,4,51,0,1,3.51,7.58,10.0,1,aprovado
128,38,11,3,3,45,0,3,7.47,4.69,7.26,1,aprovado
129,36,4,2,4,33,0,1,8.84,4.94,6.56,1,aprovado
130,128,19,3,2,29,0,0,4.15,4.53,6.06,1,reprovado
131,93,12,6,0,49,1,0,0.45,9.46,9.96,1,aprovado
132,89,11,0,3,35,0,3,3.28,5.4,6.88,1,aprovado
133,105,17,0,0,28,1,3,0.72,5.88,6.37,1,aprovado
134,121,14,6,2,72,0,0,2.9,9.95,10.0,1,aprovado
135,126,19,3,4,33,0,3,8.45,8.48,-1.0,0,aprovado
136,101,20,2,4,29,1,0,2.22,4.1,7.52,1,reprovado
137,104,12,2,0,20,0,1,7.28,5.52,-1.0,0,aprovado
138,34,12,7,4,60,1,3,1.77,10.0,10.0,1,aprovado
139,97,11,5,3,34,1,1,8.65,7.77,-1.0,0,aprovado
140,85,15,5,2,38,0,0,5.92,6.6,-1.0,0,aprovado
141,88,18,1,3,65,1,3,0.77,10.0,8.34,1,aprovado
142,63,13,7,0,32,1,1,3.22,7.7,8.92,1,aprovado
143,36,11,2,1,40,1,0,5.05,10.0,-1.0,0,aprovado
144,108,16,4,3,70,0,3,3.73,9.41,10.0,1,aprovado
145,99,20,6,2,68,1,2,0.95,9.67,10.0,1,aprovado
146,51,14,4,1,28,1,3,9.18,4.89,7.47,1,aprovado
147,47,10,1,4,26,1,3,6.71,3.65,4.32,1,reprovado
148,139,18,2,0,29,1,1,1.92,5.82,7.32,1,aprovado
149,149,21,5,4,31,0,1,0.38,5.54,7.74,1,reprovado
150,57,16,0,2,17,1,3,7.22,7.18,-1.0,0,aprovado
151,129,16,3,3,51,1,2,2.34,8.74,8.59,1,aprovado
152,87,18,6,1,29,1,1,7.79,3.38,6.04,1,aprovado
153,110,12,1,2,18,0,0,5.55,6.79,-1.0,0,aprovado
154,52,10,1,3,26,1,1,8.32,4.74,5.12,1,aprovado
155,113,16,5,0,8,1,1,9.96,6.26,-1.0,0,aprovado
156,52,12,4,1,60,1,3,1.38,10.0,7.6,1,aprovado
157,70,10,6,2,44,0,0,8.36,4.19,8.7,1,aprovado
158,132,22,7,4,38,1,0,0.63,5.71,4.76,1,reprovado
159,105,18,6,0,50,0,1,2.41,6.39,8.79,1,aprovado
160,144,24,6,0,28,1,3,5.55,6.77,-1.0,0,reprovado
161,19,12,1,1,75,0,2,3.57,9.8,10.0,1,aprovado
162,49,12,5,3,75,0,1,0.44,7.56,10.0,1,aprovado
163,132,13,3,1,50,1,0,0.37,8.33,10.0,1,aprovado
164,136,14,3,2,50,0,2,2.54,7.75,8.44,1,aprovado
165,117,19,6,1,31,1,2,7.44,9.86,-1.0,0,aprovado
166,83,17,6,3,13,1,0,8.02,5.24,-1.0,0,aprovado
167,35,13,4,3,59,0,2,3.28,7.1,9.62,1,aprovado
168,105,11,6,0,44,1,2,6.15,10.0,-1.0,0,aprovado
169,55,8,2,0,30,0,3,9.54,4.48,5.56,1,aprovado
170,23,9,7,2,10,1,2,6.06,5.9,-1.0,0,reprovado
171,116,12,4,0,39,0,1,3.15,4.31,7.68,1,reprovado
172,82,12,7,4,35,0,1,7.76,5.06,-1.0,0,aprovado
173,33,13,7,2,52,1,0,4.52,8.76,7.95,1,aprovado
174,91,12,2,4,11,1,2,8.52,7.35,-1.0,0,aprovado
175,75,17,0,4,25,1,2,7.91,10.0,-1.0,0,aprovado
176,48,11,1,2,34,1,0,6.13,10.0,-1.0,0,aprovado
177,33,10,5,3,68,0,0,1.25,10.0,10.0,1,aprovado
178,61,6,2,4,14,1,3,7.69,5.27,-1.0,0,aprovado
179,56,10,3,4,32,0,2,3.23,4.68,6.76,1,reprovado
180,47,14,1,4,32,0,1,6.26,4.63,8.52,1,aprovado
181,101,10,0,0,41,0,0,8.43,6.18,-1.0,0,aprovado
182,121,16,0,4,21,1,3,6.19,8.66,-1.0,0,aprovado
183,118,19,1,1,52,0,0,2.98,5.02,9.54,1,aprovado
184,95,12,5,3,27,1,2,8.62,5.9,-1.0,0,aprovado
185,76,10,4,1,34,0,3,4.67,6.49,8.58,1,aprovado
186,122,17,2,4,38,1,2,2.49,6.75,7.33,1,aprovado
187,142,20,7,0,32,1,0,8.8,7.21,-1.0,0,aprovado
188,105,20,4,4,58,0,3,0.49,4.79,7.79,1,aprovado
189,49,5,5,2,33,0,3,8.83,6.94,-1.0,0,aprovado
190,107,18,1,4,45,0,3,5.54,10.0,-1.0,0,aprovado
191,45,9,1,2,71,1,3,1.29,10.0,9.88,1,aprovado
192,145,16,0,0,49,1,0,4.02,8.22,6.88,1,aprovado
193,146,24,5,3,41,1,1,1.4,7.16,7.68,1,reprovado
194,140,19,4,0,21,1,3,7.09,9.54,-1.0,0,aprovado
195,93,19,0,2,37,1,3,7.98,10.0,-1.0,0,aprovado
196,137,14,6,1,69,1,1,1.71,8.68,8.72,1,aprovado
197,95,18,6,3,70,1,1,4.19,10.0,10.0,1,aprovado
198,30,11,3,3,28,1,2,7.06,6.37,-1.0,0,aprovado
199,102,13,4,1,26,1,3,5.47,6.38,-1.0,0,reprovado
200,91,16,3,2,24,1,3,7.72,9.68,-1.0,0,aprovado
201,85,10,6,2,49,0,3,2.88,8.41,6.52,1,aprovado
202,128,21,7,1,17,1,1,6.57,7.62,-1.0,0,reprovado
203,50,15,3,0,64,0,1,1.09,6.67,8.5,1,aprovado
204,99,18,1,0,11,1,1,7.18,8.06,-1.0,0,aprovado
205,136,18,3,2,25,1,2,4.78,3.08,6.0,1,reprovado
206,24,2,2,1,34,1,3,9.14,7.18,-1.0,0,aprovado
207,89,18,0,4,27,1,2,8.78,4.56,5.65,1,aprovado
208,149,18,2,2,30,0,3,4.94,4.91,7.0,1,reprovado
209,62,16,5,4,38,0,2,0.14,6.54,9.24,1,aprovado
210,124,14,1,0,14,0,3,5.16,6.44,-1.0,0,reprovado
211,16,7,3,2,51,1,3,2.61,8.75,7.68,1,aprovado
212,107,15,0,3,12,1,0,6.93,6.02,-1.0,0,aprovado
213,94,12,4,4,18,1,2,6.91,6.65,-1.0,0,aprovado
214,131,20,5,4,34,1,3,7.48,10.0,-1.0,0,aprovado
215,78,13,1,4,28,1,3,6.81,3.56,7.65,1,aprovado
216,144,22,2,2,54,0,1,2.02,5.28,9.67,1,reprovado
217,38,6,7,3,39,1,0,9.0,9.7,-1.0,0,aprovado
218,133,17,4,3,2,1,0,6.73,5.15,-1.0,0,reprovado
219,26,10,1,0,29,0,0,4.24,2.02,4.3,1,reprovado
220,122,18,6,3,28,1,3,3.75,6.32,6.2,1,aprovado
221,104,10,6,1,28,1,1,1.19,5.32,7.1,1,aprovado
222,123,17,3,3,14,0,1,5.32,6.45,-1.0,0,reprovado
223,43,7,6,1,32,0,0,0.32,1.67,6.99,1,reprovado
224,27,6,0,3,71,0,3,2.45,10.0,9.15,1,aprovado
225,143,23,3,4,18,0,2,9.94,6.64,-1.0,0,reprovado
226,148,23,4,0,64,1,2,2.21,10.0,10.0,1,reprovado
227,124,20,0,3,25,1,2,5.56,7.18,-1.0,0,aprovado
228,91,13,7,1,36,1,1,3.77,8.58,7.32,1,aprovado
229,121,16,2,1,39,0,3,5.58,2.78,7.12,1,aprovado
230,109,17,3,2,70,1,0,0.93,10.0,9.69,1,aprovado
231,70,10,5,0,41,1,2,4.8,5.22,10.0,1,aprovado
232,137,22,3,1,19,1,3,9.15,6.28,-1.0,0,reprovado
233,106,12,5,3,62,1,3,3.09,8.85,8.77,1,aprovado
234,95,14,3,0,68,1,1,4.14,10.0,10.0,1,aprovado
235,54,8,3,4,66,1,3,1.96,10.0,9.94,1,aprovado
236,140,19,7,1,30,0,3,9.67,3.99,4.67,1,aprovado
237,30,9,1,0,18,1,0,5.24,5.41,-1.0,0,reprovado
238,53,14,7,0,74,1,2,0.09,10.0,10.0,1,aprovado
239,139,22,6,0,40,1,0,0.16,5.94,7.52,1,reprovado
240,125,20,2,0,29,0,0,8.07,4.23,4.88,1,aprovado
241,105,16,6,2,59,1,0,2.68,10.0,8.5,1,aprovado
242,35,10,0,3,29,1,0,6.54,5.9,-1.0,0,aprovado
243,17,12,1,3,25,1,3,7.04,9.43,-1.0,0,aprovado
244,39,13,0,1,34,0,1,8.96,8.88,-1.0,0,aprovado
245,86,9,0,2,19,1,1,9.0,8.14,-1.0,0,aprovado
246,116,15,4,4,38,1,1,9.3,8.7,-1.0,0,aprovado
247,99,15,2,4,26,0,0,3.84,1.91,3.63,1,reprovado
248,116,19,5,2,31,0,0,9.7,6.64,-1.0,0,aprovado
249,111,15,6,4,41,1,0,4.32,5.04,5.9,1,reprovado
250,54,6,5,0,7,1,2,7.4,5.11,-1.0,0,aprovado
251,84,15,1,3,66,1,1,1.02,9.79,8.38,1,aprovado
252,105,14,5,0,56,0,3,5.55,4.92,10.0,1,aprovado
253,77,10,2,1,28,0,3,5.73,5.97,-1.0,0,reprovado
254,31,10,4,2,31,0,3,1.67,6.1,7.48,1,aprovado
255,141,16,3,0,26,0,3,5.94,5.23,-1.0,0,reprovado
256,112,17,5,2,40,0,3,8.05,6.61,-1.0,0,aprovado
257,66,11,2,2,75,0,3,4.79,9.76,10.0,1,aprovado
258,111,20,6,0,35,1,2,2.81,6.6,7.8,1,aprovado
259,21,6,7,3,11,1,1,9.54,7.36,-1.0,0,aprovado
260,119,16,2,1,11,1,2,6.74,7.32,-1.0,0,aprovado
261,33,11,7,4,58,1,3,4.5,10.0,9.05,1,aprovado
262,36,14,3,1,72,0,2,1.09,10.0,10.0,1,aprovado
263,117,12,5,0,30,0,3,9.68,3.81,6.35,1,aprovado
264,71,15,6,4,34,0,3,4.46,1.87,4.77,1,reprovado
265,121,17,1,1,21,1,0,9.21,8.56,-1.0,0,aprovado
266,148,22,7,3,44,0,0,4.83,3.22,9.06,1,reprovado
267,20,10,1,1,16,1,1,8.5,5.66,-1.0,0,aprovado
268,124,14,3,1,43,1,3,9.59,9.36,-1.0,0,aprovado
269,65,9,6,0,44,0,3,4.5,6.53,9.49,1,aprovado
270,41,7,2,2,35,0,2,8.0,7.74,-1.0,0,aprovado
271,140,20,5,4,46,0,3,5.28,7.51,-1.0,0,aprovado
272,132,18,4,1,28,0,0,6.18,1.59,5.37,1,reprovado
273,51,11,6,4,39,0,1,5.11,8.06,-1.0,0,aprovado
274,59,8,7,1,32,1,2,5.55,9.1,-1.0,0,aprovado
275,106,17,7,1,37,1,1,9.53,9.1,-1.0,0,aprovado
276,140,15,7,1,68,0,3,4.16,9.81,9.96,1,aprovado
277,85,17,4,3,61,1,1,2.25,7.7,8.2,1,aprovado
278,108,14,0,4,38,0,3,5.43,8.91,-1.0,0,aprovado
279,78,13,0,2,31,0,3,2.98,6.36,7.76,1,aprovado
280,75,17,5,1,32,1,3,2.1,7.58,8.04,1,aprovado
281,104,14,2,2,49,0,2,5.33,10.0,-1.0,0,aprovado
282,39,14,6,2,34,1,0,1.36,4.41,4.98,1,reprovado
283,97,19,6,1,40,0,3,8.29,7.08,-1.0,0,aprovado
284,130,17,1,4,51,0,3,0.76,6.32,9.3,1,aprovado
285,38,12,7,0,29,0,2,7.32,5.78,-1.0,0,aprovado
286,69,15,5,2,68,0,2,4.95,10.0,10.0,1,aprovado
287,27,5,7,0,65,0,0,0.46,10.0,10.0,1,aprovado
288,48,6,4,2,30,0,1,8.83,5.61,-1.0,0,aprovado
289,57,16,4,3,29,1,1,0.52,3.14,6.02,1,reprovado
290,48,10,7,0,15,1,0,5.94,6.0,-1.0,0,reprovado
291,48,6,3,0,36,0,3,4.78,6.41,5.19,1,reprovado
292,49,14,2,4,23,1,0,6.42,3.2,4.64,1,reprovado
293,69,17,2,4,30,1,3,6.29,6.18,-1.0,0,aprovado
294,40,10,1,2,51,1,3,1.4,7.12,9.6,1,aprovado
295,78,11,4,2,46,1,0,5.54,8.7,-1.0,0,aprovado
296,115,18,0,3,30,0,1,2.96,4.45,4.11,1,reprovado
297,18,11,5,3,30,1,1,9.88,9.17,-1.0,0,aprovado
298,135,15,1,4,22,0,0,9.55,0.45,3.05,1,aprovado
299,116,13,6,3,55,1,3,5.07,10.0,-1.0,0,aprovado
300,86,17,1,1,48,0,1,0.84,6.68,10.0,1,aprovado
301,31,6,6,0,35,1,1,3.1,4.46,7.44,1,reprovado
302,29,5,2,0,30,0,0,3.1,6.02,6.37,1,aprovado
303,81,8,2,0,54,1,2,1.67,7.61,7.07,1,aprovado
304,34,12,5,3,38,0,0,4.97,3.53,5.27,1,reprovado
305,44,7,0,0,30,0,0,2.29,3.17,4.5,1,reprovado
306,24,5,6,2,42,1,1,5.53,8.85,-1.0,0,aprovado
307,34,6,1,1,50,1,0,5.72,10.0,-1.0,0,aprovado
308,32,4,4,2,43,1,2,8.78,9.22,-1.0,0,aprovado
309,89,14,4,3,50,1,1,5.64,10.0,-1.0,0,aprovado
310,65,12,3,0,25,0,1,7.33,2.37,7.34,1,aprovado
311,17,3,0,2,21,1,3,9.52,5.82,-1.0,0,aprovado
312,140,14,2,0,17,1,2,9.62,6.72,-1.0,0,aprovado
313,110,13,1,4,75,1,0,4.59,9.25,10.0,1,aprovado
314,126,17,2,2,22,1,1,6.63,6.72,-1.0,0,aprovado
315,98,13,4,0,35,1,1,3.18,6.8,5.16,1,reprovado
316,57,14,5,0,51,1,3,4.5,6.92,7.92,1,aprovado
317,82,17,1,2,24,0,1,8.53,4.79,3.74,1,aprovado
318,78,12,6,2,35,0,0,9.69,3.9,6.64,1,aprovado
319,78,8,1,0,31,1,1,0.95,8.3,4.53,1,aprovado
320,117,12,1,0,30,0,2,3.73,4.49,7.8,1,aprovado
321,38,11,5,0,27,0,0,9.06,3.76,7.5,1,aprovado
322,116,17,6,1,39,1,3,4.97,5.76,7.1,1,aprovado
323,53,11,3,3,69,0,2,0.35,6.56,10.0,1,aprovado
324,122,17,3,3,60,1,0,2.0,9.43,10.0,1,aprovado
325,143,19,4,0,68,0,1,3.22,10.0,10.0,1,aprovado
326,29,6,7,4,17,0,2,8.09,5.42,-1.0,0,aprovado
327,83,14,0,4,31,1,1,5.34,10.0,-1.0,0,aprovado
328,59,6,5,4,56,1,2,1.76,9.32,9.82,1,aprovado
329,63,13,7,1,26,0,2,8.38,1.92,4.35,1,aprovado
330,149,20,5,1,34,1,1,4.78,7.98,5.87,1,aprovado
331,20,7,2,4,32,0,0,1.48,6.22,5.98,1,aprovado
332,40,10,5,1,76,1,1,3.37,10.0,10.0,1,aprovado
333,106,15,2,2,32,0,3,2.23,1.51,7.52,1,reprovado
334,115,17,0,4,41,0,1,8.52,7.96,-1.0,0,aprovado
335,142,19,1,2,32,1,1,1.41,8.33,8.12,1,aprovado
336,100,11,4,1,52,0,1,4.47,4.54,6.51,1,reprovado
337,113,18,6,3,51,0,1,4.39,5.76,10.0,1,aprovado
338,72,7,1,2,52,0,0,1.63,4.52,8.21,1,aprovado
339,111,20,1,2,69,1,0,1.61,10.0,10.0,1,aprovado
340,57,7,6,0,47,0,1,6.08,4.32,9.36,1,aprovado
341,82,8,4,0,31,1,1,6.61,10.0,-1.0,0,aprovado
342,54,9,0,0,78,1,3,0.55,10.0,9.88,1,aprovado
343,58,10,1,0,30,1,3,6.39,10.0,-1.0,0,aprovado
344,82,14,6,2,52,0,1,0.91,4.22,8.7,1,aprovado
345,82,18,4,1,29,0,0,2.26,2.84,6.34,1,reprovado
346,73,17,6,4,40,1,3,5.54,8.18,-1.0,0,aprovado
347,91,16,0,0,36,1,1,0.79,4.84,5.56,1,reprovado
348,64,9,6,3,78,0,0,1.26,10.0,10.0,1,aprovado
349,32,11,6,2,61,1,2,0.87,7.18,10.0,1,aprovado
350,148,17,1,1,38,1,3,7.82,10.0,-1.0,0,aprovado
351,40,9,1,4,32,0,2,9.26,7.28,-1.0,0,aprovado
352,136,23,4,1,65,1,3,0.38,9.64,10.0,1,reprovado
353,99,15,0,2,3,1,3,6.91,6.36,-1.0,0,aprovado
354,94,11,7,1,49,1,0,2.81,7.85,10.0,1,aprovado
355,83,11,1,3,30,1,1,7.3,9.56,-1.0,0,aprovado
356,110,19,2,2,25,0,0,8.22,7.38,-1.0,0,aprovado
357,22,2,3,1,68,0,0,1.74,7.81,9.5,1,aprovado
358,109,14,6,0,26,1,0,8.24,7.48,-1.0,0,aprovado
359,136,18,5,1,28,0,2,5.87,2.94,4.32,1,reprovado
360,69,17,3,2,28,1,1,8.58,9.83,-1.0,0,aprovado
361,17,2,2,4,49,0,1,4.75,7.66,7.66,1,aprovado
362,85,12,6,3,41,0,2,4.24,6.02,9.25,1,aprovado
363,116,22,0,4,46,1,2,5.85,9.25,-1.0,0,reprovado
364,42,8,5,2,48,1,2,4.82,10.0,9.26,1,aprovado
365,63,12,3,4,50,1,0,1.5,9.36,9.53,1,aprovado
366,90,9,6,3,74,1,3,2.6,10.0,10.0,1,aprovado
367,71,11,7,4,14,1,2,6.87,8.14,-1.0,0,aprovado
368,61,14,7,2,38,1,1,2.94,8.76,8.03,1,aprovado
369,71,12,4,2,45,1,3,3.56,7.44,6.22,1,aprovado
370,28,11,1,1,11,1,3,8.67,5.28,-1.0,0,aprovado
371,91,14,2,1,56,1,1,4.14,10.0,10.0,1,aprovado
372,51,10,2,3,76,1,0,3.17,10.0,9.79,1,aprovado
373,130,14,2,3,34,1,1,2.74,6.92,6.27,1,aprovado
374,137,14,0,2,49,1,1,3.84,8.28,6.22,1,aprovado
375,16,6,3,2,35,0,1,6.27,4.39,5.9,1,aprovado
376,31,11,4,3,42,1,2,8.25,9.42,-1.0,0,aprovado
377,49,7,7,1,59,0,2,3.43,6.0,10.0,1,aprovado
378,69,17,2,2,4,1,0,7.35,5.71,-1.0,0,aprovado
379,27,3,0,0,39,0,0,5.95,4.28,7.62,1,aprovado
380,136,20,3,2,26,1,0,7.03,4.1,6.28,1,aprovado
381,50,6,1,2,36,0,0,4.19,5.05,8.4,1,aprovado
382,148,17,5,2,4,1,3,9.74,7.06,-1.0,0,aprovado
383,138,15,0,0,68,1,0,3.31,8.75,8.95,1,aprovado
384,145,21,1,1,42,0,2,0.75,3.0,9.32,1,reprovado
385,25,3,5,3,14,1,2,8.53,8.21,-1.0,0,aprovado
386,17,9,2,2,45,0,2,8.53,9.3,-1.0,0,aprovado
387,110,17,2,3,31,0,0,8.16,5.8,-1.0,0,aprovado
388,137,14,2,1,13,0,0,8.01,6.2,-1.0,0,aprovado
389,138,20,7,4,22,1,1,8.03,9.07,-1.0,0,aprovado
